id,lon,lat,taxonomy,number,structural,nonstructural,contents,retrofitting,day,night,transit,LandUse,GenOcc,OccClass,GenType,BldgType,BldEpoch,SSC_Zone,EqDesLev,SauidID,sauid,dauid,adauid,fsauid,csduid,csdname,cduid,cdname,SAC,eruid,ername,pruid,prname
71529-RES3E-URMM-LC,-123.1229662,49.27609331,RES3E-URMM-LC,1,1447191,6592759,578876.4,447643.06,9.52,51.34,30.06,RES-HD,Residential-HD,RES3E,URMasonry,URMM,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71532-COM1-C3M-LC,-123.1229662,49.27609331,COM1-C3M-LC,1,624466.67,1018866.67,562020,414815.31,42.23,0.18,22.33,RES-HD,Commercial,COM1,Concrete,C3M,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71535-COM4-S5L-LC,-123.1229662,49.27609331,COM4-S5L-LC,1,1552338,2532762,1397104.2,913849.6,25.81,0,13.27,RES-HD,Commercial,COM4,Steel,S5L,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71541-COM1-URML-LC,-123.1229662,49.27609331,COM1-URML-LC,2,1248933.33,2037733.33,1124040,267390.44,84.46,0.36,44.67,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71543-COM4-URML-LC,-123.1229662,49.27609331,COM4-URML-LC,1,1552338,2532762,1397104.2,237977.49,25.81,0,13.27,RES-HD,Commercial,COM4,URMasonry,URML,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71544-IND2-URML-LC,-123.1229662,49.27609331,IND2-URML-LC,1,614520,1661480,829602,223742.88,16.16,0,7.12,RES-HD,Industrial,IND2,URMasonry,URML,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71608-RES3B-URML-LC,-123.1253102,49.27968811,RES3B-URML-LC,1,257337,1172313,102934.8,111045.68,1.34,7.22,4.23,RES-HD,Residential-MD,RES3B,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71609-RES3C-URML-LC,-123.1253102,49.27968811,RES3C-URML-LC,1,291208.5,1326616.5,116483.4,137548.79,3.01,16.24,9.51,RES-HD,Residential-MD,RES3C,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71615-COM4-URMM-LC,-123.1253102,49.27968811,COM4-URMM-LC,1,3635840,5932160,3272256,578821.66,125.76,0.9,64.66,RES-HD,Commercial,COM4,URMasonry,URMM,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71622-COM3-URML-LC,-123.1253102,49.27968811,COM3-URML-LC,1,221920,362080,199728,57410.3,5.32,0.08,3.12,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71623-COM1-URML-LC,-123.1253102,49.27968811,COM1-URML-LC,1,624466.67,1018866.67,562020,133695.22,42.23,0.18,22.33,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71625-COM3-C3L-PC,-123.1253102,49.27968811,COM3-C3L-PC,1,221920,362080,199728,241964.12,5.32,0.08,3.12,RES-HD,Commercial,COM3,Concrete,C3L,Pre-1973,SSC-4,PC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71626-COM4-C3L-LC,-123.1253102,49.27968811,COM4-C3L-LC,1,1552338,2532762,1397104.2,738371.24,25.81,0,13.27,RES-HD,Commercial,COM4,Concrete,C3L,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145667-COM7-S5M-LC,-123.1270855,49.27980069,COM7-S5M-LC,1,5190420,8468580,4671378,1896555.01,72.73,0.52,37.4,RES-HD,Commercial,COM7,Steel,S5M,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145672-COM3-C3L-LC,-123.1270855,49.27980069,COM3-C3L-LC,1,221920,362080,199728,178126.57,5.32,0.08,3.12,RES-HD,Commercial,COM3,Concrete,C3L,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145682-COM1-URML-PC,-123.1270855,49.27980069,COM1-URML-PC,1,624466.67,1018866.67,562020,514186.42,42.23,0.18,22.33,RES-HD,Commercial,COM1,URMasonry,URML,Pre-1973,SSC-4,PC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145687-GOV1-URMM-LC,-123.1270855,49.27980069,GOV1-URMM-LC,1,1142280,5203720,1028052,239078.51,83.21,3.12,45.84,RES-HD,Civic,GOV1,URMasonry,URMM,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145688-COM4-URML-LC,-123.1270855,49.27980069,COM4-URML-LC,1,1552338,2532762,1397104.2,237977.49,25.81,0,13.27,RES-HD,Commercial,COM4,URMasonry,URML,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145691-COM1-URML-LC,-123.1270855,49.27980069,COM1-URML-LC,1,624466.67,1018866.67,562020,133695.22,42.23,0.18,22.33,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145693-COM3-URML-LC,-123.1270855,49.27980069,COM3-URML-LC,4,887680,1448320,798912,229641.2,21.29,0.3,12.5,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145696-RES3E-URML-LC,-123.1270855,49.27980069,RES3E-URML-LC,1,1447191,6592759,578876.4,447643.06,9.52,51.34,30.06,RES-HD,Residential-HD,RES3E,URMasonry,URML,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145697-RES3A-URML-LC,-123.1270855,49.27980069,RES3A-URML-LC,1,146187,665963,58474.8,69049.65,0.67,3.61,2.11,RES-HD,Residential-MD,RES3A,URMasonry,URML,1973-1989,SSC-4,LC,59010778,59010778,59153849,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145705-COM4-URML-LC,-123.1268827,49.27862964,COM4-URML-LC,1,1552338,2532762,1397104.2,237977.49,25.81,0,13.27,RES-HD,Commercial,COM4,URMasonry,URML,1973-1989,SSC-4,LC,59010779,59010779,59153851,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145708-COM3-URML-PC,-123.1268827,49.27862964,COM3-URML-PC,1,221920,362080,199728,220797.7,5.32,0.08,3.12,RES-HD,Commercial,COM3,URMasonry,URML,Pre-1973,SSC-4,PC,59010779,59010779,59153851,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145710-COM3-W3-PC,-123.1268827,49.27862964,COM3-W3-PC,1,221920,362080,199728,220797.7,5.32,0.08,3.12,RES-HD,Commercial,COM3,Wood,W3,Pre-1973,SSC-4,PC,59010779,59010779,59153851,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145716-COM3-C3L-LC,-123.1268827,49.27862964,COM3-C3L-LC,1,221920,362080,199728,178126.57,5.32,0.08,3.12,RES-HD,Commercial,COM3,Concrete,C3L,1973-1989,SSC-4,LC,59010779,59010779,59153851,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145641-RES3E-C2H-PC,-123.1249347,49.27737026,RES3E-C2H-PC,1,1447191,6592759,578876.4,1721617.11,9.52,51.34,30.06,RES-HD,Residential-HD,RES3E,Concrete,C2H,Pre-1973,SSC-4,PC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145643-COM3-C3L-LC,-123.1249347,49.27737026,COM3-C3L-LC,1,221920,362080,199728,178126.57,5.32,0.08,3.12,RES-HD,Commercial,COM3,Concrete,C3L,1973-1989,SSC-4,LC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145646-COM4-C3L-LC,-123.1249347,49.27737026,COM4-C3L-LC,1,1552338,2532762,1397104.2,738371.24,25.81,0,13.27,RES-HD,Commercial,COM4,Concrete,C3L,1973-1989,SSC-4,LC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145647-RES3D-C2L-PC,-123.1249347,49.27737026,RES3D-C2L-PC,1,636804,2900996,254721.6,873511.98,5.06,27.27,15.97,RES-HD,Residential-HD,RES3D,Concrete,C2L,Pre-1973,SSC-4,PC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145650-COM3-C2L-PC,-123.1249347,49.27737026,COM3-C2L-PC,2,443840,724160,399456,441595.39,10.64,0.15,6.25,RES-HD,Commercial,COM3,Concrete,C2L,Pre-1973,SSC-4,PC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145651-COM3-URML-LC,-123.1249347,49.27737026,COM3-URML-LC,7,1553440,2534560,1398096,401872.1,37.25,0.53,21.87,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-4,LC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145653-COM1-URML-LC,-123.1249347,49.27737026,COM1-URML-LC,1,624466.67,1018866.67,562020,133695.22,42.23,0.18,22.33,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145655-COM4-URML-LC,-123.1249347,49.27737026,COM4-URML-LC,1,1552338,2532762,1397104.2,237977.49,25.81,0,13.27,RES-HD,Commercial,COM4,URMasonry,URML,1973-1989,SSC-4,LC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
145663-COM4-URMM-LC,-123.1249347,49.27737026,COM4-URMM-LC,1,3635840,5932160,3272256,578821.66,125.76,0.9,64.66,RES-HD,Commercial,COM4,URMasonry,URMM,1973-1989,SSC-4,LC,59010777,59010777,59153847,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71551-IND4-W3-PC,-123.1228582,49.27809938,IND4-W3-PC,1,910764,2462436,1229531.4,566814.91,10.69,0.23,4.71,RES-HD,Industrial,IND4,Wood,W3,Pre-1973,SSC-4,PC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71552-COM1-S5L-LC,-123.1228582,49.27809938,COM1-S5L-LC,1,624466.67,1018866.67,562020,513398.65,42.23,0.18,22.33,RES-HD,Commercial,COM1,Steel,S5L,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71554-COM1-W3-PC,-123.1228582,49.27809938,COM1-W3-PC,1,624466.67,1018866.67,562020,514186.42,42.23,0.18,22.33,RES-HD,Commercial,COM1,Wood,W3,Pre-1973,SSC-4,PC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71556-COM3-W3-PC,-123.1228582,49.27809938,COM3-W3-PC,1,221920,362080,199728,220797.7,5.32,0.08,3.12,RES-HD,Commercial,COM3,Wood,W3,Pre-1973,SSC-4,PC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71561-COM3-C3M-PC,-123.1228582,49.27809938,COM3-C3M-PC,1,221920,362080,199728,241964.12,5.32,0.08,3.12,RES-HD,Commercial,COM3,Concrete,C3M,Pre-1973,SSC-4,PC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71573-COM4-URMM-LC,-123.1228582,49.27809938,COM4-URMM-LC,3,10907520,17796480,9816768,1736464.98,377.28,2.7,193.98,RES-HD,Commercial,COM4,URMasonry,URMM,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71574-REL1-URMM-LC,-123.1228582,49.27809938,REL1-URMM-LC,1,515531.25,2348531.25,515531.25,127796.9,36.24,0,17.57,RES-HD,Civic,REL1,URMasonry,URMM,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71576-COM1-URMM-LC,-123.1228582,49.27809938,COM1-URMM-LC,1,624466.67,1018866.67,562020,133695.22,42.23,0.18,22.33,RES-HD,Commercial,COM1,URMasonry,URMM,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71578-IND2-URML-LC,-123.1228582,49.27809938,IND2-URML-LC,2,1229040,3322960,1659204,447485.77,32.33,0,14.25,RES-HD,Industrial,IND2,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71579-IND1-URML-LC,-123.1228582,49.27809938,IND1-URML-LC,1,1798200,4861800,2427570,290983.72,10.43,0,4.6,RES-HD,Industrial,IND1,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71583-COM4-URML-LC,-123.1228582,49.27809938,COM4-URML-LC,7,10866366,17729334,9779729.4,1665842.45,180.66,0,92.89,RES-HD,Commercial,COM4,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71586-COM1-URML-LC,-123.1228582,49.27809938,COM1-URML-LC,3,1873400,3056600,1686060,401085.66,126.7,0.54,67,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71588-COM2-URML-LC,-123.1228582,49.27809938,COM2-URML-LC,1,1026000,1674000,923400,353899.11,39.73,0,17.51,RES-HD,Commercial,COM2,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71590-COM3-URML-LC,-123.1228582,49.27809938,COM3-URML-LC,6,1331520,2172480,1198368,344461.8,31.93,0.46,18.75,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71596-RES3B-URML-LC,-123.1228582,49.27809938,RES3B-URML-LC,1,257337,1172313,102934.8,111045.68,1.34,7.22,4.23,RES-HD,Residential-MD,RES3B,URMasonry,URML,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71599-COM4-C3L-LC,-123.1228582,49.27809938,COM4-C3L-LC,1,1552338,2532762,1397104.2,738371.24,25.81,0,13.27,RES-HD,Commercial,COM4,Concrete,C3L,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71600-COM3-C3L-LC,-123.1228582,49.27809938,COM3-C3L-LC,4,887680,1448320,798912,712506.29,21.29,0.3,12.5,RES-HD,Commercial,COM3,Concrete,C3L,1973-1989,SSC-4,LC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71601-COM3-RM1L-PC,-123.1228582,49.27809938,COM3-RM1L-PC,1,221920,362080,199728,220797.7,5.32,0.08,3.12,RES-HD,Commercial,COM3,RMasonry,RM1L,Pre-1973,SSC-4,PC,59007563,59007563,59150780,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
